       act_type: 'tanh'
         l_rate: 0.8000
          beta1: 0.7000
     numint_its: 200
         epochs: 2000
         d_rate: 0
       int_step: 0.1000
       lr_decay: 1
        buf_win: 20
      ADAPTIT_r: 2
      ADAPTIT_w: 500
    layer_sizes: [400 250 100 10 10]
       n_layers: 5
            var: [1 1 1 1 1]
      timestamp: '0306_112005'
          log_f: 3

Epoch 144 | Cost: 4.874689e-01
Epoch 145 | Cost: 4.874166e-01
Epoch 146 | Cost: 4.873685e-01
Epoch 147 | Cost: 4.873246e-01
Epoch 148 | Cost: 4.872847e-01
Epoch 149 | Cost: 4.872489e-01
Epoch 150 | Cost: 4.872172e-01
Epoch 151 | Cost: 4.871894e-01
Epoch 152 | Cost: 4.871655e-01
Epoch 153 | Cost: 4.871456e-01
Epoch 154 | Cost: 4.871295e-01
Epoch 155 | Cost: 4.871172e-01
Epoch 156 | Cost: 4.871086e-01
Epoch 157 | Cost: 4.871039e-01
Epoch 158 | Cost: 4.871028e-01
Epoch 159 | Cost: 4.871054e-01
New learning rate: 0.80000
New inference steps: 400
Epoch 160 | Cost: 4.798203e-01
Epoch 161 | Cost: 4.702815e-01
Epoch 162 | Cost: 4.618727e-01
Epoch 163 | Cost: 4.553948e-01
Epoch 164 | Cost: 4.502199e-01
Epoch 165 | Cost: 4.456457e-01
Epoch 166 | Cost: 4.414314e-01
Epoch 167 | Cost: 4.376230e-01
Epoch 168 | Cost: 4.342328e-01
Epoch 169 | Cost: 4.311332e-01
Epoch 170 | Cost: 4.281437e-01
Epoch 171 | Cost: 4.251436e-01
Epoch 172 | Cost: 4.221115e-01
Epoch 173 | Cost: 4.190980e-01
Epoch 174 | Cost: 4.161783e-01
Epoch 175 | Cost: 4.134164e-01
Epoch 176 | Cost: 4.108487e-01
Epoch 177 | Cost: 4.084830e-01
Epoch 178 | Cost: 4.063040e-01
Epoch 179 | Cost: 4.042826e-01
Epoch 180 | Cost: 4.023851e-01
Epoch 181 | Cost: 4.005801e-01
Epoch 182 | Cost: 3.988426e-01
Epoch 183 | Cost: 3.971556e-01
Epoch 184 | Cost: 3.955096e-01
Epoch 185 | Cost: 3.939011e-01
Epoch 186 | Cost: 3.923302e-01
Epoch 187 | Cost: 3.907991e-01
Epoch 188 | Cost: 3.893101e-01
Epoch 189 | Cost: 3.878650e-01
Epoch 190 | Cost: 3.864640e-01
Epoch 191 | Cost: 3.851067e-01
Epoch 192 | Cost: 3.837916e-01
Epoch 193 | Cost: 3.825168e-01
Epoch 194 | Cost: 3.812805e-01
Epoch 195 | Cost: 3.800804e-01
Epoch 196 | Cost: 3.789150e-01
Epoch 197 | Cost: 3.777824e-01
Epoch 198 | Cost: 3.766813e-01
Epoch 199 | Cost: 3.756106e-01
Epoch 200 | Cost: 3.745695e-01
Epoch 201 | Cost: 3.735574e-01
Epoch 202 | Cost: 3.725739e-01
Epoch 203 | Cost: 3.716191e-01
Epoch 204 | Cost: 3.706929e-01
Epoch 205 | Cost: 3.697955e-01
Epoch 206 | Cost: 3.689270e-01
Epoch 207 | Cost: 3.680875e-01
Epoch 208 | Cost: 3.672772e-01
Epoch 209 | Cost: 3.664960e-01
Epoch 210 | Cost: 3.657442e-01
Epoch 211 | Cost: 3.650217e-01
Epoch 212 | Cost: 3.643288e-01
Epoch 213 | Cost: 3.636656e-01
Epoch 214 | Cost: 3.630323e-01
Epoch 215 | Cost: 3.624295e-01
Epoch 216 | Cost: 3.618575e-01
Epoch 217 | Cost: 3.613169e-01
Epoch 218 | Cost: 3.608082e-01
Epoch 219 | Cost: 3.603322e-01
Epoch 220 | Cost: 3.598893e-01
Epoch 221 | Cost: 3.594804e-01
Epoch 222 | Cost: 3.591059e-01
Epoch 223 | Cost: 3.587667e-01
Epoch 224 | Cost: 3.584635e-01
Epoch 225 | Cost: 3.581969e-01
Epoch 226 | Cost: 3.579676e-01
Epoch 227 | Cost: 3.577764e-01
Epoch 228 | Cost: 3.576240e-01
Epoch 229 | Cost: 3.575110e-01
Epoch 230 | Cost: 3.574381e-01
Epoch 231 | Cost: 3.574058e-01
Epoch 232 | Cost: 3.574144e-01
New learning rate: 0.80000
New inference steps: 800
Epoch 233 | Cost: 3.516629e-01
Epoch 234 | Cost: 3.444610e-01
Epoch 235 | Cost: 3.389587e-01
Epoch 236 | Cost: 3.360478e-01
Epoch 237 | Cost: 3.350465e-01
Epoch 238 | Cost: 3.348074e-01
Epoch 239 | Cost: 3.345430e-01
Epoch 240 | Cost: 3.340294e-01
Epoch 241 | Cost: 3.333747e-01
Epoch 242 | Cost: 3.327197e-01
Epoch 243 | Cost: 3.321016e-01
Epoch 244 | Cost: 3.314784e-01
Epoch 245 | Cost: 3.308029e-01
Epoch 246 | Cost: 3.300654e-01
Epoch 247 | Cost: 3.292913e-01
Epoch 248 | Cost: 3.285179e-01
Epoch 249 | Cost: 3.277751e-01
Epoch 250 | Cost: 3.270783e-01
Epoch 251 | Cost: 3.264297e-01
Epoch 252 | Cost: 3.258233e-01
Epoch 253 | Cost: 3.252495e-01
Epoch 254 | Cost: 3.246980e-01
Epoch 255 | Cost: 3.241600e-01
Epoch 256 | Cost: 3.236285e-01
Epoch 257 | Cost: 3.230989e-01
Epoch 258 | Cost: 3.225688e-01
Epoch 259 | Cost: 3.220372e-01
Epoch 260 | Cost: 3.215040e-01
Epoch 261 | Cost: 3.209701e-01
Epoch 262 | Cost: 3.204363e-01
Epoch 263 | Cost: 3.199034e-01
Epoch 264 | Cost: 3.193720e-01
Epoch 265 | Cost: 3.188425e-01
Epoch 266 | Cost: 3.183149e-01
