       act_type: 'tanh'
         l_rate: 0.8000
          beta1: 0.7000
     numint_its: 100
         epochs: 1000
         d_rate: 0
       int_step: 0.1000
       lr_decay: 1
        buf_win: 10
      ADAPTIT_r: 2
      ADAPTIT_w: 250
    layer_sizes: [400 100 10 10]
       n_layers: 4
            var: [1 1 1 1]
      timestamp: '0306_134302'
          log_f: 3

Epoch 144 | Cost: 5.762995e-01
Epoch 145 | Cost: 5.759260e-01
Epoch 146 | Cost: 5.755574e-01
Epoch 147 | Cost: 5.751934e-01
Epoch 148 | Cost: 5.748340e-01
Epoch 149 | Cost: 5.744791e-01
Epoch 150 | Cost: 5.741286e-01
Epoch 151 | Cost: 5.737824e-01
Epoch 152 | Cost: 5.734404e-01
Epoch 153 | Cost: 5.731025e-01
Epoch 154 | Cost: 5.727687e-01
Epoch 155 | Cost: 5.724388e-01
Epoch 156 | Cost: 5.721128e-01
Epoch 157 | Cost: 5.717906e-01
Epoch 158 | Cost: 5.714721e-01
Epoch 159 | Cost: 5.711573e-01
Epoch 160 | Cost: 5.708461e-01
Epoch 161 | Cost: 5.705384e-01
Epoch 162 | Cost: 5.702342e-01
Epoch 163 | Cost: 5.699334e-01
Epoch 164 | Cost: 5.696360e-01
Epoch 165 | Cost: 5.693418e-01
Epoch 166 | Cost: 5.690509e-01
Epoch 167 | Cost: 5.687631e-01
Epoch 168 | Cost: 5.684785e-01
Epoch 169 | Cost: 5.681970e-01
Epoch 170 | Cost: 5.679184e-01
Epoch 171 | Cost: 5.676429e-01
Epoch 172 | Cost: 5.673703e-01
Epoch 173 | Cost: 5.671006e-01
Epoch 174 | Cost: 5.668337e-01
Epoch 175 | Cost: 5.665697e-01
Epoch 176 | Cost: 5.663084e-01
Epoch 177 | Cost: 5.660498e-01
Epoch 178 | Cost: 5.657940e-01
Epoch 179 | Cost: 5.655408e-01
Epoch 180 | Cost: 5.652901e-01
Epoch 181 | Cost: 5.650421e-01
Epoch 182 | Cost: 5.647966e-01
Epoch 183 | Cost: 5.645537e-01
Epoch 184 | Cost: 5.643132e-01
Epoch 185 | Cost: 5.640751e-01
Epoch 186 | Cost: 5.638395e-01
Epoch 187 | Cost: 5.636062e-01
Epoch 188 | Cost: 5.633753e-01
