       act_type: 'tanh'
         l_rate: 0.9000
          beta1: 0.7500
     numint_its: 100
         epochs: 2500
         d_rate: 0
       int_step: 0.1000
       lr_decay: 1
        buf_win: 10
     ADAPTIT_ri: 4
     ADAPTIT_rs: 2
      ADAPTIT_w: 1250
    layer_sizes: [400 100 100 10 10]
       n_layers: 5
            var: [1 1 1 1 1]
      timestamp: '0322_145450'
          log_f: 3

Epoch 1 | Cost: 2.233960e+00 | Training Set Accuracy: 18.605000
Epoch 2 | Cost: 2.140820e+00 | Training Set Accuracy: 24.120000
Epoch 3 | Cost: 2.082572e+00 | Training Set Accuracy: 31.331667
Epoch 4 | Cost: 1.975794e+00 | Training Set Accuracy: 41.583333
Epoch 5 | Cost: 1.808019e+00 | Training Set Accuracy: 48.131667
Epoch 6 | Cost: 1.617850e+00 | Training Set Accuracy: 49.728333
Epoch 7 | Cost: 1.434926e+00 | Training Set Accuracy: 57.961667
Epoch 8 | Cost: 1.296556e+00 | Training Set Accuracy: 65.373333
Epoch 9 | Cost: 1.236150e+00 | Training Set Accuracy: 67.618333
Epoch 10 | Cost: 1.208897e+00 | Training Set Accuracy: 68.200000
Epoch 11 | Cost: 1.160157e+00 | Training Set Accuracy: 70.228333
Epoch 12 | Cost: 1.104133e+00 | Training Set Accuracy: 72.366667
Epoch 13 | Cost: 1.061545e+00 | Training Set Accuracy: 73.638333
Epoch 14 | Cost: 1.029956e+00 | Training Set Accuracy: 74.565000
Epoch 15 | Cost: 1.000619e+00 | Training Set Accuracy: 75.221667
Epoch 16 | Cost: 9.692985e-01 | Training Set Accuracy: 75.746667
Epoch 17 | Cost: 9.366627e-01 | Training Set Accuracy: 76.173333
Epoch 18 | Cost: 9.051868e-01 | Training Set Accuracy: 76.698333
Epoch 19 | Cost: 8.771851e-01 | Training Set Accuracy: 77.461667
Epoch 20 | Cost: 8.541563e-01 | Training Set Accuracy: 78.576667
Epoch 21 | Cost: 8.366102e-01 | Training Set Accuracy: 79.706667
Epoch 22 | Cost: 8.240794e-01 | Training Set Accuracy: 80.691667
Epoch 23 | Cost: 8.151808e-01 | Training Set Accuracy: 81.256667
Epoch 24 | Cost: 8.079112e-01 | Training Set Accuracy: 81.635000
Epoch 25 | Cost: 8.005105e-01 | Training Set Accuracy: 81.906667
Epoch 26 | Cost: 7.923311e-01 | Training Set Accuracy: 82.146667
Epoch 27 | Cost: 7.837769e-01 | Training Set Accuracy: 82.365000
Epoch 28 | Cost: 7.755464e-01 | Training Set Accuracy: 82.538333
Epoch 29 | Cost: 7.680744e-01 | Training Set Accuracy: 82.658333
Epoch 30 | Cost: 7.614512e-01 | Training Set Accuracy: 82.761667
Epoch 31 | Cost: 7.555678e-01 | Training Set Accuracy: 82.876667
Epoch 32 | Cost: 7.502597e-01 | Training Set Accuracy: 82.941667
Epoch 33 | Cost: 7.453770e-01 | Training Set Accuracy: 83.046667
Epoch 34 | Cost: 7.407945e-01 | Training Set Accuracy: 83.175000
Epoch 35 | Cost: 7.364021e-01 | Training Set Accuracy: 83.286667
Epoch 36 | Cost: 7.321091e-01 | Training Set Accuracy: 83.438333
Epoch 37 | Cost: 7.278639e-01 | Training Set Accuracy: 83.545000
Epoch 38 | Cost: 7.236686e-01 | Training Set Accuracy: 83.625000
Epoch 39 | Cost: 7.195711e-01 | Training Set Accuracy: 83.721667
Epoch 40 | Cost: 7.156429e-01 | Training Set Accuracy: 83.791667
Epoch 41 | Cost: 7.119538e-01 | Training Set Accuracy: 83.861667
Epoch 42 | Cost: 7.085559e-01 | Training Set Accuracy: 83.943333
Epoch 43 | Cost: 7.054756e-01 | Training Set Accuracy: 84.013333
Epoch 44 | Cost: 7.027123e-01 | Training Set Accuracy: 84.071667
