       act_type: 'tanh'
         l_rate: 0.9000
          beta1: 0.7500
     numint_its: 100
         epochs: 2500
         d_rate: 0
       int_step: 0.1000
       lr_decay: 1
        buf_win: 10
     ADAPTIT_ri: 4
     ADAPTIT_rs: 2
      ADAPTIT_w: 1000
    layer_sizes: [784 30 10 10]
       n_layers: 4
            var: [1 1 1 1]
      timestamp: '0308_190435'
          log_f: 3

Epoch 1 | Cost: 2.384652e+00 | Training Set Accuracy: 14.255000
Epoch 2 | Cost: 2.205296e+00 | Training Set Accuracy: 20.000000
Epoch 3 | Cost: 2.004082e+00 | Training Set Accuracy: 27.645000
Epoch 4 | Cost: 1.829077e+00 | Training Set Accuracy: 36.393333
Epoch 5 | Cost: 1.681032e+00 | Training Set Accuracy: 43.646667
Epoch 6 | Cost: 1.542266e+00 | Training Set Accuracy: 50.101667
Epoch 7 | Cost: 1.407406e+00 | Training Set Accuracy: 58.636667
Epoch 8 | Cost: 1.285699e+00 | Training Set Accuracy: 66.255000
Epoch 9 | Cost: 1.186798e+00 | Training Set Accuracy: 70.716667
Epoch 10 | Cost: 1.112341e+00 | Training Set Accuracy: 73.013333
Epoch 11 | Cost: 1.057701e+00 | Training Set Accuracy: 74.131667
Epoch 12 | Cost: 1.016722e+00 | Training Set Accuracy: 74.786667
Epoch 13 | Cost: 9.844620e-01 | Training Set Accuracy: 75.331667
Epoch 14 | Cost: 9.577684e-01 | Training Set Accuracy: 75.951667
Epoch 15 | Cost: 9.348537e-01 | Training Set Accuracy: 76.571667
Epoch 16 | Cost: 9.147146e-01 | Training Set Accuracy: 77.295000
Epoch 17 | Cost: 8.967347e-01 | Training Set Accuracy: 78.020000
Epoch 18 | Cost: 8.804949e-01 | Training Set Accuracy: 78.658333
Epoch 19 | Cost: 8.656991e-01 | Training Set Accuracy: 79.258333
Epoch 20 | Cost: 8.521308e-01 | Training Set Accuracy: 79.760000
Epoch 21 | Cost: 8.396145e-01 | Training Set Accuracy: 80.173333
Epoch 22 | Cost: 8.279855e-01 | Training Set Accuracy: 80.498333
Epoch 23 | Cost: 8.170821e-01 | Training Set Accuracy: 80.816667
Epoch 24 | Cost: 8.067553e-01 | Training Set Accuracy: 81.058333
Epoch 25 | Cost: 7.968862e-01 | Training Set Accuracy: 81.321667
Epoch 26 | Cost: 7.873967e-01 | Training Set Accuracy: 81.571667
Epoch 27 | Cost: 7.782480e-01 | Training Set Accuracy: 81.771667
Epoch 28 | Cost: 7.694302e-01 | Training Set Accuracy: 81.963333
Epoch 29 | Cost: 7.609474e-01 | Training Set Accuracy: 82.120000
Epoch 30 | Cost: 7.528046e-01 | Training Set Accuracy: 82.303333
Epoch 31 | Cost: 7.450003e-01 | Training Set Accuracy: 82.491667
Epoch 32 | Cost: 7.375243e-01 | Training Set Accuracy: 82.648333
Epoch 33 | Cost: 7.303597e-01 | Training Set Accuracy: 82.856667
Epoch 34 | Cost: 7.234857e-01 | Training Set Accuracy: 83.010000
Epoch 35 | Cost: 7.168811e-01 | Training Set Accuracy: 83.158333
Epoch 36 | Cost: 7.105259e-01 | Training Set Accuracy: 83.290000
Epoch 37 | Cost: 7.044017e-01 | Training Set Accuracy: 83.405000
Epoch 38 | Cost: 6.984916e-01 | Training Set Accuracy: 83.531667
Epoch 39 | Cost: 6.927801e-01 | Training Set Accuracy: 83.628333
