Epoch 1 | Cost: 2.276453e+00
Epoch 2 | Cost: 2.127999e+00
Epoch 3 | Cost: 1.962339e+00
Epoch 4 | Cost: 1.812243e+00
Epoch 5 | Cost: 1.686465e+00
Epoch 6 | Cost: 1.583413e+00
Epoch 7 | Cost: 1.497993e+00
Epoch 8 | Cost: 1.424817e+00
Epoch 9 | Cost: 1.360401e+00
Epoch 10 | Cost: 1.303247e+00
Epoch 11 | Cost: 1.252681e+00
Epoch 12 | Cost: 1.207913e+00
Epoch 13 | Cost: 1.167902e+00
Epoch 14 | Cost: 1.131764e+00
Epoch 15 | Cost: 1.099085e+00
Epoch 16 | Cost: 1.069840e+00
Epoch 17 | Cost: 1.044031e+00
Epoch 18 | Cost: 1.021390e+00
Epoch 19 | Cost: 1.001353e+00
Epoch 20 | Cost: 9.832473e-01
Epoch 21 | Cost: 9.664944e-01
Epoch 22 | Cost: 9.507093e-01
Epoch 23 | Cost: 9.356734e-01
Epoch 24 | Cost: 9.212599e-01
Epoch 25 | Cost: 9.073772e-01
Epoch 26 | Cost: 8.939488e-01
Epoch 27 | Cost: 8.809182e-01
Epoch 28 | Cost: 8.682538e-01
Epoch 29 | Cost: 8.559471e-01
Epoch 30 | Cost: 8.440024e-01
Epoch 31 | Cost: 8.324256e-01
Epoch 32 | Cost: 8.212163e-01
Epoch 33 | Cost: 8.103648e-01
Epoch 34 | Cost: 7.998538e-01
Epoch 35 | Cost: 7.896601e-01
Epoch 36 | Cost: 7.797583e-01
Epoch 37 | Cost: 7.701222e-01
Epoch 38 | Cost: 7.607275e-01
Epoch 39 | Cost: 7.515531e-01
Epoch 40 | Cost: 7.425817e-01
Epoch 41 | Cost: 7.338010e-01
Epoch 42 | Cost: 7.252023e-01
Epoch 43 | Cost: 7.167800e-01
Epoch 44 | Cost: 7.085302e-01
Epoch 45 | Cost: 7.004500e-01
Epoch 46 | Cost: 6.925364e-01
Epoch 47 | Cost: 6.847858e-01
Epoch 48 | Cost: 6.771941e-01
Epoch 49 | Cost: 6.697571e-01
Epoch 50 | Cost: 6.624701e-01
Epoch 51 | Cost: 6.553286e-01
Epoch 52 | Cost: 6.483283e-01
Epoch 53 | Cost: 6.414653e-01
Epoch 54 | Cost: 6.347365e-01
Epoch 55 | Cost: 6.281391e-01
Epoch 56 | Cost: 6.216709e-01
Epoch 57 | Cost: 6.153301e-01
