       act_type: 'reclin'
         l_rate: 0.8000
          beta1: 0.7000
     numint_its: 100
         epochs: 1500
         d_rate: 0
       int_step: 0.2000
       lr_decay: 1
        buf_win: 501
     ADAPTIT_ri: 4
     ADAPTIT_rs: 2
      ADAPTIT_w: 500
    layer_sizes: [400 30 10 10]
       n_layers: 4
            var: [1 1 1 1]
      timestamp: '0308_141541'
          log_f: 3

Epoch 81 | Cost: NaN | Training Set Accuracy: 10.000000
Epoch 82 | Cost: NaN | Training Set Accuracy: 10.000000
Epoch 83 | Cost: NaN | Training Set Accuracy: 10.000000
Epoch 84 | Cost: NaN | Training Set Accuracy: 10.000000
Epoch 85 | Cost: NaN | Training Set Accuracy: 10.000000
Epoch 86 | Cost: NaN | Training Set Accuracy: 10.000000
Epoch 87 | Cost: NaN | Training Set Accuracy: 10.000000
Epoch 88 | Cost: NaN | Training Set Accuracy: 10.000000
Epoch 89 | Cost: NaN | Training Set Accuracy: 10.000000
Epoch 90 | Cost: NaN | Training Set Accuracy: 10.000000
Epoch 91 | Cost: NaN | Training Set Accuracy: 10.000000
Epoch 92 | Cost: NaN | Training Set Accuracy: 10.000000
Epoch 93 | Cost: NaN | Training Set Accuracy: 10.000000
Epoch 94 | Cost: NaN | Training Set Accuracy: 10.000000
Epoch 95 | Cost: NaN | Training Set Accuracy: 10.000000
Epoch 96 | Cost: NaN | Training Set Accuracy: 10.000000
Epoch 97 | Cost: NaN | Training Set Accuracy: 10.000000
Epoch 98 | Cost: NaN | Training Set Accuracy: 10.000000
Epoch 99 | Cost: NaN | Training Set Accuracy: 10.000000
Epoch 100 | Cost: NaN | Training Set Accuracy: 10.000000
Epoch 101 | Cost: NaN | Training Set Accuracy: 10.000000
Epoch 102 | Cost: NaN | Training Set Accuracy: 10.000000
Epoch 103 | Cost: NaN | Training Set Accuracy: 10.000000
Epoch 104 | Cost: NaN | Training Set Accuracy: 10.000000
Epoch 105 | Cost: NaN | Training Set Accuracy: 10.000000
Epoch 106 | Cost: NaN | Training Set Accuracy: 10.000000
