Epoch 153 | Cost: 8.840199e-01
Epoch 154 | Cost: 8.798951e-01
Epoch 155 | Cost: 8.757379e-01
Epoch 156 | Cost: 8.715464e-01
Epoch 157 | Cost: 8.673193e-01
Epoch 158 | Cost: 8.630548e-01
Epoch 159 | Cost: 8.587515e-01
Epoch 160 | Cost: 8.544080e-01
Epoch 161 | Cost: 8.500229e-01
Epoch 162 | Cost: 8.455951e-01
Epoch 163 | Cost: 8.411235e-01
Epoch 164 | Cost: 8.366074e-01
Epoch 165 | Cost: 8.320463e-01
Epoch 166 | Cost: 8.274399e-01
Epoch 167 | Cost: 8.227885e-01
Epoch 168 | Cost: 8.180927e-01
Epoch 169 | Cost: 8.133538e-01
Epoch 170 | Cost: 8.085737e-01
Epoch 171 | Cost: 8.037551e-01
Epoch 172 | Cost: 7.989018e-01
Epoch 173 | Cost: 7.940182e-01
Epoch 174 | Cost: 7.891104e-01
Epoch 175 | Cost: 7.841853e-01
Epoch 176 | Cost: 7.792517e-01
Epoch 177 | Cost: 7.743195e-01
Epoch 178 | Cost: 7.694003e-01
Epoch 179 | Cost: 7.645073e-01
Epoch 180 | Cost: 7.596552e-01
Epoch 181 | Cost: 7.548597e-01
Epoch 182 | Cost: 7.501378e-01
Epoch 183 | Cost: 7.455070e-01
Epoch 184 | Cost: 7.409848e-01
Epoch 185 | Cost: 7.365884e-01
Epoch 186 | Cost: 7.323335e-01
Epoch 187 | Cost: 7.282340e-01
Epoch 188 | Cost: 7.243011e-01
Epoch 189 | Cost: 7.205430e-01
Epoch 190 | Cost: 7.169639e-01
Epoch 191 | Cost: 7.135643e-01
Epoch 192 | Cost: 7.103410e-01
Epoch 193 | Cost: 7.072869e-01
Epoch 194 | Cost: 7.043919e-01
Epoch 195 | Cost: 7.016434e-01
Epoch 196 | Cost: 6.990270e-01
Epoch 197 | Cost: 6.965275e-01
Epoch 198 | Cost: 6.941292e-01
Epoch 199 | Cost: 6.918169e-01
Epoch 200 | Cost: 6.895764e-01
Epoch 201 | Cost: 6.873946e-01
Epoch 202 | Cost: 6.852601e-01
Epoch 203 | Cost: 6.831629e-01
Epoch 204 | Cost: 6.810948e-01
Epoch 205 | Cost: 6.790490e-01
Epoch 206 | Cost: 6.770203e-01
Epoch 207 | Cost: 6.750044e-01
Epoch 208 | Cost: 6.729984e-01
Epoch 209 | Cost: 6.710000e-01
Epoch 210 | Cost: 6.690077e-01
Epoch 211 | Cost: 6.670207e-01
Epoch 212 | Cost: 6.650385e-01
Epoch 213 | Cost: 6.630609e-01
Epoch 214 | Cost: 6.610880e-01
Epoch 215 | Cost: 6.591200e-01
Epoch 216 | Cost: 6.571573e-01
Epoch 217 | Cost: 6.552003e-01
Epoch 218 | Cost: 6.532494e-01
Epoch 219 | Cost: 6.513052e-01
Epoch 220 | Cost: 6.493681e-01
Epoch 221 | Cost: 6.474385e-01
Epoch 222 | Cost: 6.455168e-01
Epoch 223 | Cost: 6.436034e-01
Epoch 224 | Cost: 6.416987e-01
Epoch 225 | Cost: 6.398029e-01
Epoch 226 | Cost: 6.379164e-01
Epoch 227 | Cost: 6.360395e-01
Epoch 228 | Cost: 6.341722e-01
Epoch 229 | Cost: 6.323150e-01
Epoch 230 | Cost: 6.304678e-01
Epoch 231 | Cost: 6.286309e-01
Epoch 232 | Cost: 6.268044e-01
Epoch 233 | Cost: 6.249885e-01
Epoch 234 | Cost: 6.231831e-01
Epoch 235 | Cost: 6.213884e-01
Epoch 236 | Cost: 6.196045e-01
Epoch 237 | Cost: 6.178314e-01
Epoch 238 | Cost: 6.160692e-01
Epoch 239 | Cost: 6.143178e-01
Epoch 240 | Cost: 6.125774e-01
Epoch 241 | Cost: 6.108479e-01
Epoch 242 | Cost: 6.091293e-01
Epoch 243 | Cost: 6.074216e-01
Epoch 244 | Cost: 6.057248e-01
Epoch 245 | Cost: 6.040390e-01
Epoch 246 | Cost: 6.023640e-01
Epoch 247 | Cost: 6.006999e-01
Epoch 248 | Cost: 5.990466e-01
Epoch 249 | Cost: 5.974041e-01
Epoch 250 | Cost: 5.957724e-01
Epoch 251 | Cost: 5.941514e-01
Epoch 252 | Cost: 5.925411e-01
Epoch 253 | Cost: 5.909415e-01
Epoch 254 | Cost: 5.893524e-01
Epoch 255 | Cost: 5.877739e-01
