          act_type: 'tanh'
            l_rate: 0.1000
             beta1: 0
        numint_its: 300
            epochs: 2000
            d_rate: 0
          int_step: 0.0500
          lr_decay: 0.1000
    rate_decay_win: 100
       layer_sizes: [400 250 100 10 10]
          n_layers: 5
               var: [1 1 1 1 1]
         timestamp: '0305_145754'
             log_f: 3

Epoch 145 | Cost: 1.048648e+00
Epoch 146 | Cost: 1.044392e+00
Epoch 147 | Cost: 1.040176e+00
Epoch 148 | Cost: 1.035999e+00
Epoch 149 | Cost: 1.031861e+00
Epoch 150 | Cost: 1.027761e+00
Epoch 151 | Cost: 1.023699e+00
Epoch 152 | Cost: 1.019675e+00
Epoch 153 | Cost: 1.015687e+00
Epoch 154 | Cost: 1.011737e+00
Epoch 155 | Cost: 1.007823e+00
Epoch 156 | Cost: 1.003945e+00
Epoch 157 | Cost: 1.000102e+00
Epoch 158 | Cost: 9.962952e-01
Epoch 159 | Cost: 9.925230e-01
Epoch 160 | Cost: 9.887853e-01
Epoch 161 | Cost: 9.850819e-01
Epoch 162 | Cost: 9.814125e-01
Epoch 163 | Cost: 9.777767e-01
Epoch 164 | Cost: 9.741742e-01
Epoch 165 | Cost: 9.706047e-01
Epoch 166 | Cost: 9.670679e-01
Epoch 167 | Cost: 9.635636e-01
Epoch 168 | Cost: 9.600915e-01
Epoch 169 | Cost: 9.566512e-01
Epoch 170 | Cost: 9.532426e-01
Epoch 171 | Cost: 9.498653e-01
Epoch 172 | Cost: 9.465191e-01
Epoch 173 | Cost: 9.432039e-01
Epoch 174 | Cost: 9.399193e-01
Epoch 175 | Cost: 9.366650e-01
Epoch 176 | Cost: 9.334410e-01
Epoch 177 | Cost: 9.302469e-01
Epoch 178 | Cost: 9.270825e-01
Epoch 179 | Cost: 9.239477e-01
Epoch 180 | Cost: 9.208422e-01
Epoch 181 | Cost: 9.177658e-01
Epoch 182 | Cost: 9.147183e-01
Epoch 183 | Cost: 9.116995e-01
Epoch 184 | Cost: 9.087092e-01
Epoch 185 | Cost: 9.057473e-01
Epoch 186 | Cost: 9.028135e-01
Epoch 187 | Cost: 8.999077e-01
Epoch 188 | Cost: 8.970296e-01
Epoch 189 | Cost: 8.941792e-01
Epoch 190 | Cost: 8.913562e-01
Epoch 191 | Cost: 8.885604e-01
Epoch 192 | Cost: 8.857917e-01
Epoch 193 | Cost: 8.830499e-01
Epoch 194 | Cost: 8.803349e-01
Epoch 195 | Cost: 8.776464e-01
Epoch 196 | Cost: 8.749843e-01
Epoch 197 | Cost: 8.723485e-01
Epoch 198 | Cost: 8.697388e-01
Epoch 199 | Cost: 8.671550e-01
Epoch 200 | Cost: 8.645969e-01
Epoch 201 | Cost: 8.620645e-01
Epoch 202 | Cost: 8.595574e-01
Epoch 203 | Cost: 8.570757e-01
Epoch 204 | Cost: 8.546191e-01
Epoch 205 | Cost: 8.521875e-01
Epoch 206 | Cost: 8.497806e-01
Epoch 207 | Cost: 8.473984e-01
Epoch 208 | Cost: 8.450407e-01
Epoch 209 | Cost: 8.427074e-01
Epoch 210 | Cost: 8.403982e-01
Epoch 211 | Cost: 8.381130e-01
Epoch 212 | Cost: 8.358517e-01
Epoch 213 | Cost: 8.336142e-01
Epoch 214 | Cost: 8.314001e-01
Epoch 215 | Cost: 8.292095e-01
Epoch 216 | Cost: 8.270420e-01
Epoch 217 | Cost: 8.248977e-01
Epoch 218 | Cost: 8.227763e-01
Epoch 219 | Cost: 8.206776e-01
Epoch 220 | Cost: 8.186015e-01
Epoch 221 | Cost: 8.165478e-01
Epoch 222 | Cost: 8.145164e-01
Epoch 223 | Cost: 8.125071e-01
Epoch 224 | Cost: 8.105198e-01
Epoch 225 | Cost: 8.085542e-01
Epoch 226 | Cost: 8.066102e-01
Epoch 227 | Cost: 8.046877e-01
Epoch 228 | Cost: 8.027865e-01
Epoch 229 | Cost: 8.009063e-01
Epoch 230 | Cost: 7.990472e-01
Epoch 231 | Cost: 7.972088e-01
Epoch 232 | Cost: 7.953910e-01
Epoch 233 | Cost: 7.935936e-01
Epoch 234 | Cost: 7.918165e-01
Epoch 235 | Cost: 7.900595e-01
Epoch 236 | Cost: 7.883225e-01
Epoch 237 | Cost: 7.866052e-01
Epoch 238 | Cost: 7.849075e-01
Epoch 239 | Cost: 7.832291e-01
Epoch 240 | Cost: 7.815701e-01
Epoch 241 | Cost: 7.799300e-01
Epoch 242 | Cost: 7.783089e-01
Epoch 243 | Cost: 7.767064e-01
Epoch 244 | Cost: 7.751225e-01
Epoch 245 | Cost: 7.735570e-01
Epoch 246 | Cost: 7.720096e-01
Epoch 247 | Cost: 7.704802e-01
Epoch 248 | Cost: 7.689686e-01
Epoch 249 | Cost: 7.674747e-01
Epoch 250 | Cost: 7.659982e-01
Epoch 251 | Cost: 7.645391e-01
Epoch 252 | Cost: 7.630970e-01
Epoch 253 | Cost: 7.616718e-01
Epoch 254 | Cost: 7.602634e-01
Epoch 255 | Cost: 7.588716e-01
Epoch 256 | Cost: 7.574961e-01
Epoch 257 | Cost: 7.561369e-01
Epoch 258 | Cost: 7.547936e-01
Epoch 259 | Cost: 7.534663e-01
Epoch 260 | Cost: 7.521546e-01
Epoch 261 | Cost: 7.508583e-01
Epoch 262 | Cost: 7.495774e-01
Epoch 263 | Cost: 7.483117e-01
Epoch 264 | Cost: 7.470609e-01
