       act_type: 'tanh'
         l_rate: 0.9000
          beta1: 0.7500
     numint_its: 75
         epochs: 1000
         d_rate: 0
       int_step: 0.2000
       lr_decay: 1
        buf_win: 10
     ADAPTIT_ri: 2
     ADAPTIT_rs: 1
      ADAPTIT_w: 1250
    layer_sizes: [400 50 10 10]
       n_layers: 4
            var: [1 1 1 1]
      timestamp: '0405_163454'
          log_f: 3

Epoch 1 | Cost: 2.260739e+00 | Training Set Accuracy: 14.735000
Epoch 2 | Cost: 2.066283e+00 | Training Set Accuracy: 26.498333
Epoch 3 | Cost: 1.879159e+00 | Training Set Accuracy: 35.825000
Epoch 4 | Cost: 1.739606e+00 | Training Set Accuracy: 40.833333
Epoch 5 | Cost: 1.608924e+00 | Training Set Accuracy: 50.040000
Epoch 6 | Cost: 1.479709e+00 | Training Set Accuracy: 59.911667
Epoch 7 | Cost: 1.379929e+00 | Training Set Accuracy: 64.756667
Epoch 8 | Cost: 1.314913e+00 | Training Set Accuracy: 66.236667
Epoch 9 | Cost: 1.269077e+00 | Training Set Accuracy: 67.141667
Epoch 10 | Cost: 1.228698e+00 | Training Set Accuracy: 68.376667
Epoch 11 | Cost: 1.189204e+00 | Training Set Accuracy: 69.796667
Epoch 12 | Cost: 1.151913e+00 | Training Set Accuracy: 71.281667
Epoch 13 | Cost: 1.119348e+00 | Training Set Accuracy: 72.418333
Epoch 14 | Cost: 1.092599e+00 | Training Set Accuracy: 73.145000
Epoch 15 | Cost: 1.070942e+00 | Training Set Accuracy: 73.738333
Epoch 16 | Cost: 1.052727e+00 | Training Set Accuracy: 74.205000
Epoch 17 | Cost: 1.036351e+00 | Training Set Accuracy: 74.516667
Epoch 18 | Cost: 1.020763e+00 | Training Set Accuracy: 74.760000
Epoch 19 | Cost: 1.005488e+00 | Training Set Accuracy: 74.940000
Epoch 20 | Cost: 9.904424e-01 | Training Set Accuracy: 75.135000
Epoch 21 | Cost: 9.757093e-01 | Training Set Accuracy: 75.346667
Epoch 22 | Cost: 9.613984e-01 | Training Set Accuracy: 75.495000
Epoch 23 | Cost: 9.475762e-01 | Training Set Accuracy: 75.696667
Epoch 24 | Cost: 9.342466e-01 | Training Set Accuracy: 75.883333
Epoch 25 | Cost: 9.213544e-01 | Training Set Accuracy: 76.051667
Epoch 26 | Cost: 9.088022e-01 | Training Set Accuracy: 76.210000
Epoch 27 | Cost: 8.964714e-01 | Training Set Accuracy: 76.375000
Epoch 28 | Cost: 8.842434e-01 | Training Set Accuracy: 76.525000
Epoch 29 | Cost: 8.720136e-01 | Training Set Accuracy: 76.640000
Epoch 30 | Cost: 8.596962e-01 | Training Set Accuracy: 76.775000
Epoch 31 | Cost: 8.472229e-01 | Training Set Accuracy: 76.880000
Epoch 32 | Cost: 8.345393e-01 | Training Set Accuracy: 77.016667
Epoch 33 | Cost: 8.216031e-01 | Training Set Accuracy: 77.151667
Epoch 34 | Cost: 8.083876e-01 | Training Set Accuracy: 77.298333
Epoch 35 | Cost: 7.948877e-01 | Training Set Accuracy: 77.485000
Epoch 36 | Cost: 7.811306e-01 | Training Set Accuracy: 77.725000
Epoch 37 | Cost: 7.671866e-01 | Training Set Accuracy: 78.096667
Epoch 38 | Cost: 7.531806e-01 | Training Set Accuracy: 78.491667
Epoch 39 | Cost: 7.393018e-01 | Training Set Accuracy: 78.986667
Epoch 40 | Cost: 7.258057e-01 | Training Set Accuracy: 79.510000
Epoch 41 | Cost: 7.130032e-01 | Training Set Accuracy: 80.086667
Epoch 42 | Cost: 7.012275e-01 | Training Set Accuracy: 80.631667
Epoch 43 | Cost: 6.907760e-01 | Training Set Accuracy: 81.153333
Epoch 44 | Cost: 6.818368e-01 | Training Set Accuracy: 81.636667
Epoch 45 | Cost: 6.744232e-01 | Training Set Accuracy: 82.010000
Epoch 46 | Cost: 6.683494e-01 | Training Set Accuracy: 82.323333
Epoch 47 | Cost: 6.632696e-01 | Training Set Accuracy: 82.558333
Epoch 48 | Cost: 6.587729e-01 | Training Set Accuracy: 82.745000
Epoch 49 | Cost: 6.544930e-01 | Training Set Accuracy: 82.866667
Epoch 50 | Cost: 6.501868e-01 | Training Set Accuracy: 82.993333
Epoch 51 | Cost: 6.457519e-01 | Training Set Accuracy: 83.103333
Epoch 52 | Cost: 6.411936e-01 | Training Set Accuracy: 83.223333
Epoch 53 | Cost: 6.365718e-01 | Training Set Accuracy: 83.306667
Epoch 54 | Cost: 6.319552e-01 | Training Set Accuracy: 83.413333
Epoch 55 | Cost: 6.273973e-01 | Training Set Accuracy: 83.518333
Epoch 56 | Cost: 6.229315e-01 | Training Set Accuracy: 83.611667
Epoch 57 | Cost: 6.185751e-01 | Training Set Accuracy: 83.716667
Epoch 58 | Cost: 6.143363e-01 | Training Set Accuracy: 83.813333
Epoch 59 | Cost: 6.102177e-01 | Training Set Accuracy: 83.925000
Epoch 60 | Cost: 6.062190e-01 | Training Set Accuracy: 84.026667
Epoch 61 | Cost: 6.023363e-01 | Training Set Accuracy: 84.133333
Epoch 62 | Cost: 5.985633e-01 | Training Set Accuracy: 84.243333
Epoch 63 | Cost: 5.948908e-01 | Training Set Accuracy: 84.325000
Epoch 64 | Cost: 5.913087e-01 | Training Set Accuracy: 84.411667
Epoch 65 | Cost: 5.878063e-01 | Training Set Accuracy: 84.476667
Epoch 66 | Cost: 5.843740e-01 | Training Set Accuracy: 84.576667
Epoch 67 | Cost: 5.810041e-01 | Training Set Accuracy: 84.661667
Epoch 68 | Cost: 5.776906e-01 | Training Set Accuracy: 84.745000
Epoch 69 | Cost: 5.744295e-01 | Training Set Accuracy: 84.833333
Epoch 70 | Cost: 5.712186e-01 | Training Set Accuracy: 84.938333
Epoch 71 | Cost: 5.680568e-01 | Training Set Accuracy: 85.003333
Epoch 72 | Cost: 5.649437e-01 | Training Set Accuracy: 85.075000
Epoch 73 | Cost: 5.618796e-01 | Training Set Accuracy: 85.141667
Epoch 74 | Cost: 5.588646e-01 | Training Set Accuracy: 85.231667
Epoch 75 | Cost: 5.558990e-01 | Training Set Accuracy: 85.291667
Epoch 76 | Cost: 5.529829e-01 | Training Set Accuracy: 85.368333
Epoch 77 | Cost: 5.501162e-01 | Training Set Accuracy: 85.463333
Epoch 78 | Cost: 5.472986e-01 | Training Set Accuracy: 85.540000
Epoch 79 | Cost: 5.445294e-01 | Training Set Accuracy: 85.605000
Epoch 80 | Cost: 5.418080e-01 | Training Set Accuracy: 85.686667
Epoch 81 | Cost: 5.391334e-01 | Training Set Accuracy: 85.758333
Epoch 82 | Cost: 5.365049e-01 | Training Set Accuracy: 85.806667
Epoch 83 | Cost: 5.339214e-01 | Training Set Accuracy: 85.898333
