          act_type: 'tanh'
            l_rate: 0.5000
             beta1: 0.7000
        numint_its: 300
            epochs: 1000
            d_rate: 0
          int_step: 0.0500
          lr_decay: 0.1000
    rate_decay_win: 50
       layer_sizes: [400 250 100 10 10]
          n_layers: 5
               var: [1 1 1 1 10]
         timestamp: '0305_160540'
             log_f: 3

Epoch 1 | Cost: 1.861759e+00
Epoch 2 | Cost: 1.423701e+00
Epoch 3 | Cost: 1.015294e+00
Epoch 4 | Cost: 7.409016e-01
Epoch 5 | Cost: 7.674760e-01
Epoch 6 | Cost: 6.538734e-01
Epoch 7 | Cost: 5.826066e-01
Epoch 8 | Cost: 5.385764e-01
Epoch 9 | Cost: 5.315411e-01
Epoch 10 | Cost: 5.815055e-01
Epoch 11 | Cost: 5.879623e-01
Epoch 12 | Cost: 5.773002e-01
Epoch 13 | Cost: 5.406687e-01
Epoch 14 | Cost: 5.186077e-01
Epoch 15 | Cost: 5.217537e-01
Epoch 16 | Cost: 5.006013e-01
Epoch 17 | Cost: 4.841185e-01
Epoch 18 | Cost: 4.813666e-01
Epoch 19 | Cost: 4.808364e-01
Epoch 20 | Cost: 4.885249e-01
Epoch 21 | Cost: 4.966144e-01
Epoch 22 | Cost: 4.949227e-01
Epoch 23 | Cost: 4.936723e-01
Epoch 24 | Cost: 4.993292e-01
Epoch 25 | Cost: 4.947019e-01
Epoch 26 | Cost: 4.878945e-01
Epoch 27 | Cost: 4.893368e-01
Epoch 28 | Cost: 4.918795e-01
Epoch 29 | Cost: 4.951111e-01
Epoch 30 | Cost: 4.982833e-01
Epoch 31 | Cost: 4.999999e-01
Epoch 32 | Cost: 5.027236e-01
Epoch 33 | Cost: 5.021152e-01
Epoch 34 | Cost: 5.020119e-01
Epoch 35 | Cost: 5.048571e-01
Epoch 36 | Cost: 5.067329e-01
Epoch 37 | Cost: 5.094137e-01
Epoch 38 | Cost: 5.119267e-01
Epoch 39 | Cost: 5.147784e-01
Epoch 40 | Cost: 5.176081e-01
Epoch 41 | Cost: 5.197597e-01
Epoch 42 | Cost: 5.231569e-01
Epoch 43 | Cost: 5.262564e-01
Epoch 44 | Cost: 5.298458e-01
Epoch 45 | Cost: 5.332793e-01
Epoch 46 | Cost: 5.368796e-01
Epoch 47 | Cost: 5.404531e-01
Epoch 48 | Cost: 5.444751e-01
Epoch 49 | Cost: 5.485214e-01
Epoch 50 | Cost: 5.526406e-01
Epoch 51 | Cost: 5.568136e-01
Epoch 52 | Cost: 5.610745e-01
New learning rate: 0.05000
Epoch 53 | Cost: 5.614827e-01
Epoch 54 | Cost: 5.618686e-01
Epoch 55 | Cost: 5.622436e-01
Epoch 56 | Cost: 5.626154e-01
Epoch 57 | Cost: 5.629881e-01
Epoch 58 | Cost: 5.633627e-01
Epoch 59 | Cost: 5.637380e-01
Epoch 60 | Cost: 5.641122e-01
Epoch 61 | Cost: 5.644841e-01
Epoch 62 | Cost: 5.648530e-01
Epoch 63 | Cost: 5.652192e-01
Epoch 64 | Cost: 5.655837e-01
Epoch 65 | Cost: 5.659474e-01
Epoch 66 | Cost: 5.663111e-01
Epoch 67 | Cost: 5.666749e-01
Epoch 68 | Cost: 5.670391e-01
Epoch 69 | Cost: 5.674033e-01
Epoch 70 | Cost: 5.677672e-01
Epoch 71 | Cost: 5.681306e-01
Epoch 72 | Cost: 5.684934e-01
Epoch 73 | Cost: 5.688556e-01
Epoch 74 | Cost: 5.692172e-01
Epoch 75 | Cost: 5.695783e-01
