       act_type: 'tanh'
         l_rate: 0.9000
          beta1: 0.7500
     numint_its: 75
         epochs: 1000
         d_rate: 0
       int_step: 0.2000
       lr_decay: 1
        buf_win: 10
     ADAPTIT_ri: 2
     ADAPTIT_rs: 1
      ADAPTIT_w: 1250
    layer_sizes: [400 50 10 10]
       n_layers: 4
            var: [1 1 1 1]
      timestamp: '0405_164018'
          log_f: 3

Epoch 79 | Cost: 4.440215e-01 | Training Set Accuracy: 87.335000
Epoch 80 | Cost: 4.428720e-01 | Training Set Accuracy: 87.360000
Epoch 81 | Cost: 4.417408e-01 | Training Set Accuracy: 87.395000
Epoch 82 | Cost: 4.406274e-01 | Training Set Accuracy: 87.440000
Epoch 83 | Cost: 4.395312e-01 | Training Set Accuracy: 87.463333
Epoch 84 | Cost: 4.384519e-01 | Training Set Accuracy: 87.496667
Epoch 85 | Cost: 4.373889e-01 | Training Set Accuracy: 87.538333
Epoch 86 | Cost: 4.363419e-01 | Training Set Accuracy: 87.573333
Epoch 87 | Cost: 4.353104e-01 | Training Set Accuracy: 87.615000
Epoch 88 | Cost: 4.342940e-01 | Training Set Accuracy: 87.641667
Epoch 89 | Cost: 4.332924e-01 | Training Set Accuracy: 87.655000
Epoch 90 | Cost: 4.323053e-01 | Training Set Accuracy: 87.681667
Epoch 91 | Cost: 4.313322e-01 | Training Set Accuracy: 87.708333
Epoch 92 | Cost: 4.303729e-01 | Training Set Accuracy: 87.725000
Epoch 93 | Cost: 4.294271e-01 | Training Set Accuracy: 87.751667
Epoch 94 | Cost: 4.284945e-01 | Training Set Accuracy: 87.766667
Epoch 95 | Cost: 4.275748e-01 | Training Set Accuracy: 87.780000
Epoch 96 | Cost: 4.266677e-01 | Training Set Accuracy: 87.805000
Epoch 97 | Cost: 4.257731e-01 | Training Set Accuracy: 87.841667
Epoch 98 | Cost: 4.248906e-01 | Training Set Accuracy: 87.873333
Epoch 99 | Cost: 4.240201e-01 | Training Set Accuracy: 87.885000
Epoch 100 | Cost: 4.231612e-01 | Training Set Accuracy: 87.898333
Epoch 101 | Cost: 4.223138e-01 | Training Set Accuracy: 87.916667
Epoch 102 | Cost: 4.214777e-01 | Training Set Accuracy: 87.935000
Epoch 103 | Cost: 4.206526e-01 | Training Set Accuracy: 87.968333
Epoch 104 | Cost: 4.198384e-01 | Training Set Accuracy: 87.983333
Epoch 105 | Cost: 4.190348e-01 | Training Set Accuracy: 87.993333
Epoch 106 | Cost: 4.182416e-01 | Training Set Accuracy: 88.008333
Epoch 107 | Cost: 4.174588e-01 | Training Set Accuracy: 88.040000
Epoch 108 | Cost: 4.166860e-01 | Training Set Accuracy: 88.081667
Epoch 109 | Cost: 4.159232e-01 | Training Set Accuracy: 88.090000
Epoch 110 | Cost: 4.151702e-01 | Training Set Accuracy: 88.106667
Epoch 111 | Cost: 4.144268e-01 | Training Set Accuracy: 88.128333
Epoch 112 | Cost: 4.136928e-01 | Training Set Accuracy: 88.148333
Epoch 113 | Cost: 4.129682e-01 | Training Set Accuracy: 88.171667
Epoch 114 | Cost: 4.122528e-01 | Training Set Accuracy: 88.185000
Epoch 115 | Cost: 4.115465e-01 | Training Set Accuracy: 88.205000
Epoch 116 | Cost: 4.108491e-01 | Training Set Accuracy: 88.235000
Epoch 117 | Cost: 4.101605e-01 | Training Set Accuracy: 88.243333
Epoch 118 | Cost: 4.094807e-01 | Training Set Accuracy: 88.246667
Epoch 119 | Cost: 4.088094e-01 | Training Set Accuracy: 88.263333
Epoch 120 | Cost: 4.081467e-01 | Training Set Accuracy: 88.286667
Epoch 121 | Cost: 4.074923e-01 | Training Set Accuracy: 88.295000
Epoch 122 | Cost: 4.068462e-01 | Training Set Accuracy: 88.315000
Epoch 123 | Cost: 4.062082e-01 | Training Set Accuracy: 88.331667
Epoch 124 | Cost: 4.055784e-01 | Training Set Accuracy: 88.351667
Epoch 125 | Cost: 4.049565e-01 | Training Set Accuracy: 88.365000
Epoch 126 | Cost: 4.043424e-01 | Training Set Accuracy: 88.378333
Epoch 127 | Cost: 4.037362e-01 | Training Set Accuracy: 88.388333
Epoch 128 | Cost: 4.031376e-01 | Training Set Accuracy: 88.398333
Epoch 129 | Cost: 4.025466e-01 | Training Set Accuracy: 88.411667
Epoch 130 | Cost: 4.019631e-01 | Training Set Accuracy: 88.421667
Epoch 131 | Cost: 4.013871e-01 | Training Set Accuracy: 88.441667
Epoch 132 | Cost: 4.008185e-01 | Training Set Accuracy: 88.451667
Epoch 133 | Cost: 4.002571e-01 | Training Set Accuracy: 88.468333
Epoch 134 | Cost: 3.997030e-01 | Training Set Accuracy: 88.470000
Epoch 135 | Cost: 3.991561e-01 | Training Set Accuracy: 88.481667
Epoch 136 | Cost: 3.986164e-01 | Training Set Accuracy: 88.503333
Epoch 137 | Cost: 3.980837e-01 | Training Set Accuracy: 88.506667
Epoch 138 | Cost: 3.975580e-01 | Training Set Accuracy: 88.533333
Epoch 139 | Cost: 3.970392e-01 | Training Set Accuracy: 88.531667
Epoch 140 | Cost: 3.965274e-01 | Training Set Accuracy: 88.538333
Epoch 141 | Cost: 3.960224e-01 | Training Set Accuracy: 88.546667
Epoch 142 | Cost: 3.955242e-01 | Training Set Accuracy: 88.550000
Epoch 143 | Cost: 3.950328e-01 | Training Set Accuracy: 88.560000
Epoch 144 | Cost: 3.945481e-01 | Training Set Accuracy: 88.578333
Epoch 145 | Cost: 3.940701e-01 | Training Set Accuracy: 88.586667
Epoch 146 | Cost: 3.935987e-01 | Training Set Accuracy: 88.605000
Epoch 147 | Cost: 3.931340e-01 | Training Set Accuracy: 88.615000
Epoch 148 | Cost: 3.926758e-01 | Training Set Accuracy: 88.615000
Epoch 149 | Cost: 3.922241e-01 | Training Set Accuracy: 88.631667
Epoch 150 | Cost: 3.917790e-01 | Training Set Accuracy: 88.636667
Epoch 151 | Cost: 3.913404e-01 | Training Set Accuracy: 88.636667
Epoch 152 | Cost: 3.909082e-01 | Training Set Accuracy: 88.648333
Epoch 153 | Cost: 3.904825e-01 | Training Set Accuracy: 88.656667
Epoch 154 | Cost: 3.900632e-01 | Training Set Accuracy: 88.670000
Epoch 155 | Cost: 3.896503e-01 | Training Set Accuracy: 88.676667
Epoch 156 | Cost: 3.892438e-01 | Training Set Accuracy: 88.678333
Epoch 157 | Cost: 3.888437e-01 | Training Set Accuracy: 88.701667
Epoch 158 | Cost: 3.884499e-01 | Training Set Accuracy: 88.720000
Epoch 159 | Cost: 3.880625e-01 | Training Set Accuracy: 88.728333
Epoch 160 | Cost: 3.876813e-01 | Training Set Accuracy: 88.740000
Epoch 161 | Cost: 3.873065e-01 | Training Set Accuracy: 88.746667
Epoch 162 | Cost: 3.869380e-01 | Training Set Accuracy: 88.761667
Epoch 163 | Cost: 3.865757e-01 | Training Set Accuracy: 88.763333
Epoch 164 | Cost: 3.862196e-01 | Training Set Accuracy: 88.788333
Epoch 165 | Cost: 3.858697e-01 | Training Set Accuracy: 88.793333
Epoch 166 | Cost: 3.855259e-01 | Training Set Accuracy: 88.806667
Epoch 167 | Cost: 3.851882e-01 | Training Set Accuracy: 88.821667
Epoch 168 | Cost: 3.848566e-01 | Training Set Accuracy: 88.831667
Epoch 169 | Cost: 3.845310e-01 | Training Set Accuracy: 88.828333
Epoch 170 | Cost: 3.842114e-01 | Training Set Accuracy: 88.838333
Epoch 171 | Cost: 3.838977e-01 | Training Set Accuracy: 88.846667
Epoch 172 | Cost: 3.835900e-01 | Training Set Accuracy: 88.865000
Epoch 173 | Cost: 3.832882e-01 | Training Set Accuracy: 88.871667
Epoch 174 | Cost: 3.829923e-01 | Training Set Accuracy: 88.883333
Epoch 175 | Cost: 3.827023e-01 | Training Set Accuracy: 88.898333
Epoch 176 | Cost: 3.824183e-01 | Training Set Accuracy: 88.916667
Epoch 177 | Cost: 3.821402e-01 | Training Set Accuracy: 88.916667
Epoch 178 | Cost: 3.818680e-01 | Training Set Accuracy: 88.918333
Epoch 179 | Cost: 3.816018e-01 | Training Set Accuracy: 88.918333
Epoch 180 | Cost: 3.813417e-01 | Training Set Accuracy: 88.921667
Epoch 181 | Cost: 3.810875e-01 | Training Set Accuracy: 88.926667
Epoch 182 | Cost: 3.808395e-01 | Training Set Accuracy: 88.928333
Epoch 183 | Cost: 3.805975e-01 | Training Set Accuracy: 88.943333
Epoch 184 | Cost: 3.803617e-01 | Training Set Accuracy: 88.956667
