       act_type: 'tanh'
         l_rate: 0.9000
          beta1: 0.7500
     numint_its: 100
         epochs: 2500
         d_rate: 0
       int_step: 0.1000
       lr_decay: 1
        buf_win: 10
     ADAPTIT_ri: 4
     ADAPTIT_rs: 2
      ADAPTIT_w: 1000
    layer_sizes: [400 30 10 10]
       n_layers: 4
            var: [1 1 1 1]
      timestamp: '0308_180839'
          log_f: 3

Epoch 1 | Cost: 2.354829e+00 | Training Set Accuracy: 12.140000
Epoch 2 | Cost: 2.254234e+00 | Training Set Accuracy: 17.040000
Epoch 3 | Cost: 2.132239e+00 | Training Set Accuracy: 27.880000
Epoch 4 | Cost: 2.017997e+00 | Training Set Accuracy: 37.100000
Epoch 5 | Cost: 1.918448e+00 | Training Set Accuracy: 43.380000
Epoch 6 | Cost: 1.823221e+00 | Training Set Accuracy: 46.800000
Epoch 7 | Cost: 1.724881e+00 | Training Set Accuracy: 50.880000
Epoch 8 | Cost: 1.627797e+00 | Training Set Accuracy: 55.100000
Epoch 9 | Cost: 1.541292e+00 | Training Set Accuracy: 59.780000
Epoch 10 | Cost: 1.471143e+00 | Training Set Accuracy: 63.460000
Epoch 11 | Cost: 1.417453e+00 | Training Set Accuracy: 65.400000
Epoch 12 | Cost: 1.376786e+00 | Training Set Accuracy: 66.260000
Epoch 13 | Cost: 1.344743e+00 | Training Set Accuracy: 66.560000
Epoch 14 | Cost: 1.317558e+00 | Training Set Accuracy: 66.960000
Epoch 15 | Cost: 1.292767e+00 | Training Set Accuracy: 67.260000
Epoch 16 | Cost: 1.269201e+00 | Training Set Accuracy: 67.700000
Epoch 17 | Cost: 1.246580e+00 | Training Set Accuracy: 68.180000
Epoch 18 | Cost: 1.224983e+00 | Training Set Accuracy: 68.720000
Epoch 19 | Cost: 1.204475e+00 | Training Set Accuracy: 69.160000
Epoch 20 | Cost: 1.184964e+00 | Training Set Accuracy: 69.840000
Epoch 21 | Cost: 1.166252e+00 | Training Set Accuracy: 70.220000
Epoch 22 | Cost: 1.148127e+00 | Training Set Accuracy: 70.620000
Epoch 23 | Cost: 1.130450e+00 | Training Set Accuracy: 71.080000
Epoch 24 | Cost: 1.113166e+00 | Training Set Accuracy: 71.740000
Epoch 25 | Cost: 1.096296e+00 | Training Set Accuracy: 72.420000
Epoch 26 | Cost: 1.079899e+00 | Training Set Accuracy: 73.100000
Epoch 27 | Cost: 1.064040e+00 | Training Set Accuracy: 73.740000
Epoch 28 | Cost: 1.048776e+00 | Training Set Accuracy: 74.480000
Epoch 29 | Cost: 1.034145e+00 | Training Set Accuracy: 75.020000
Epoch 30 | Cost: 1.020168e+00 | Training Set Accuracy: 75.700000
Epoch 31 | Cost: 1.006854e+00 | Training Set Accuracy: 76.280000
Epoch 32 | Cost: 9.941960e-01 | Training Set Accuracy: 76.880000
Epoch 33 | Cost: 9.821757e-01 | Training Set Accuracy: 77.380000
Epoch 34 | Cost: 9.707579e-01 | Training Set Accuracy: 77.920000
Epoch 35 | Cost: 9.598924e-01 | Training Set Accuracy: 78.220000
Epoch 36 | Cost: 9.495172e-01 | Training Set Accuracy: 78.660000
Epoch 37 | Cost: 9.395645e-01 | Training Set Accuracy: 79.080000
Epoch 38 | Cost: 9.299683e-01 | Training Set Accuracy: 79.460000
Epoch 39 | Cost: 9.206704e-01 | Training Set Accuracy: 79.660000
Epoch 40 | Cost: 9.116244e-01 | Training Set Accuracy: 79.940000
Epoch 41 | Cost: 9.027963e-01 | Training Set Accuracy: 80.140000
Epoch 42 | Cost: 8.941633e-01 | Training Set Accuracy: 80.340000
Epoch 43 | Cost: 8.857103e-01 | Training Set Accuracy: 80.460000
Epoch 44 | Cost: 8.774276e-01 | Training Set Accuracy: 80.680000
Epoch 45 | Cost: 8.693074e-01 | Training Set Accuracy: 80.820000
Epoch 46 | Cost: 8.613431e-01 | Training Set Accuracy: 81.000000
Epoch 47 | Cost: 8.535284e-01 | Training Set Accuracy: 81.200000
Epoch 48 | Cost: 8.458570e-01 | Training Set Accuracy: 81.400000
Epoch 49 | Cost: 8.383230e-01 | Training Set Accuracy: 81.580000
Epoch 50 | Cost: 8.309214e-01 | Training Set Accuracy: 81.720000
Epoch 51 | Cost: 8.236478e-01 | Training Set Accuracy: 81.920000
Epoch 52 | Cost: 8.164985e-01 | Training Set Accuracy: 82.060000
Epoch 53 | Cost: 8.094706e-01 | Training Set Accuracy: 82.260000
Epoch 54 | Cost: 8.025613e-01 | Training Set Accuracy: 82.380000
Epoch 55 | Cost: 7.957684e-01 | Training Set Accuracy: 82.480000
Epoch 56 | Cost: 7.890896e-01 | Training Set Accuracy: 82.560000
Epoch 57 | Cost: 7.825229e-01 | Training Set Accuracy: 82.720000
Epoch 58 | Cost: 7.760661e-01 | Training Set Accuracy: 82.820000
Epoch 59 | Cost: 7.697172e-01 | Training Set Accuracy: 82.920000
Epoch 60 | Cost: 7.634743e-01 | Training Set Accuracy: 82.960000
