Epoch 1 | Cost: 2.229222e+00
Epoch 2 | Cost: 2.072723e+00
Epoch 3 | Cost: 1.930128e+00
Epoch 4 | Cost: 1.805864e+00
Epoch 5 | Cost: 1.698847e+00
Epoch 6 | Cost: 1.605864e+00
Epoch 7 | Cost: 1.523124e+00
Epoch 8 | Cost: 1.448264e+00
Epoch 9 | Cost: 1.380253e+00
Epoch 10 | Cost: 1.318549e+00
Epoch 11 | Cost: 1.262743e+00
Epoch 12 | Cost: 1.212448e+00
Epoch 13 | Cost: 1.167086e+00
Epoch 14 | Cost: 1.125863e+00
Epoch 15 | Cost: 1.088077e+00
Epoch 16 | Cost: 1.053326e+00
Epoch 17 | Cost: 1.021385e+00
Epoch 18 | Cost: 9.919823e-01
Epoch 19 | Cost: 9.647272e-01
Epoch 20 | Cost: 9.391962e-01
Epoch 21 | Cost: 9.150538e-01
Epoch 22 | Cost: 8.920955e-01
Epoch 23 | Cost: 8.702098e-01
Epoch 24 | Cost: 8.493233e-01
Epoch 25 | Cost: 8.293688e-01
Epoch 26 | Cost: 8.102758e-01
Epoch 27 | Cost: 7.919722e-01
Epoch 28 | Cost: 7.743909e-01
Epoch 29 | Cost: 7.574753e-01
Epoch 30 | Cost: 7.411810e-01
Epoch 31 | Cost: 7.254735e-01
Epoch 32 | Cost: 7.103243e-01
Epoch 33 | Cost: 6.957086e-01
Epoch 34 | Cost: 6.816045e-01
Epoch 35 | Cost: 6.679929e-01
Epoch 36 | Cost: 6.548581e-01
Epoch 37 | Cost: 6.421884e-01
Epoch 38 | Cost: 6.299761e-01
Epoch 39 | Cost: 6.182170e-01
Epoch 40 | Cost: 6.069112e-01
Epoch 41 | Cost: 5.960628e-01
Epoch 42 | Cost: 5.856803e-01
Epoch 43 | Cost: 5.757769e-01
Epoch 44 | Cost: 5.663712e-01
Epoch 45 | Cost: 5.574869e-01
Epoch 46 | Cost: 5.491528e-01
Epoch 47 | Cost: 5.414023e-01
Epoch 48 | Cost: 5.342719e-01
Epoch 49 | Cost: 5.277983e-01
Epoch 50 | Cost: 5.220137e-01
Epoch 51 | Cost: 5.169400e-01
Epoch 52 | Cost: 5.125787e-01
Epoch 53 | Cost: 5.089015e-01
Epoch 54 | Cost: 5.058410e-01
Epoch 55 | Cost: 5.032872e-01
Epoch 56 | Cost: 5.010955e-01
Epoch 57 | Cost: 4.991090e-01
Epoch 58 | Cost: 4.971905e-01
Epoch 59 | Cost: 4.952528e-01
Epoch 60 | Cost: 4.932714e-01
Epoch 61 | Cost: 4.912722e-01
Epoch 62 | Cost: 4.893038e-01
Epoch 63 | Cost: 4.874082e-01
Epoch 64 | Cost: 4.856051e-01
Epoch 65 | Cost: 4.838912e-01
Epoch 66 | Cost: 4.822495e-01
Epoch 67 | Cost: 4.806594e-01
Epoch 68 | Cost: 4.791043e-01
Epoch 69 | Cost: 4.775739e-01
Epoch 70 | Cost: 4.760647e-01
Epoch 71 | Cost: 4.745778e-01
Epoch 72 | Cost: 4.731173e-01
Epoch 73 | Cost: 4.716888e-01
Epoch 74 | Cost: 4.702975e-01
Epoch 75 | Cost: 4.689481e-01
Epoch 76 | Cost: 4.676438e-01
Epoch 77 | Cost: 4.663865e-01
Epoch 78 | Cost: 4.651770e-01
Epoch 79 | Cost: 4.640151e-01
Epoch 80 | Cost: 4.628998e-01
Epoch 81 | Cost: 4.618297e-01
Epoch 82 | Cost: 4.608033e-01
Epoch 83 | Cost: 4.598187e-01
Epoch 84 | Cost: 4.588743e-01
Epoch 85 | Cost: 4.579681e-01
Epoch 86 | Cost: 4.570986e-01
Epoch 87 | Cost: 4.562640e-01
Epoch 88 | Cost: 4.554629e-01
Epoch 89 | Cost: 4.546936e-01
Epoch 90 | Cost: 4.539547e-01
Epoch 91 | Cost: 4.532451e-01
Epoch 92 | Cost: 4.525632e-01
Epoch 93 | Cost: 4.519081e-01
Epoch 94 | Cost: 4.512785e-01
Epoch 95 | Cost: 4.506733e-01
Epoch 96 | Cost: 4.500916e-01
Epoch 97 | Cost: 4.495324e-01
Epoch 98 | Cost: 4.489947e-01
Epoch 99 | Cost: 4.484778e-01
Epoch 100 | Cost: 4.479807e-01
Epoch 101 | Cost: 4.475026e-01
Epoch 102 | Cost: 4.470429e-01
Epoch 103 | Cost: 4.466009e-01
Epoch 104 | Cost: 4.461757e-01
Epoch 105 | Cost: 4.457668e-01
Epoch 106 | Cost: 4.453735e-01
Epoch 107 | Cost: 4.449953e-01
Epoch 108 | Cost: 4.446316e-01
Epoch 109 | Cost: 4.442819e-01
Epoch 110 | Cost: 4.439455e-01
Epoch 111 | Cost: 4.436221e-01
Epoch 112 | Cost: 4.433112e-01
Epoch 113 | Cost: 4.430122e-01
Epoch 114 | Cost: 4.427248e-01
Epoch 115 | Cost: 4.424486e-01
Epoch 116 | Cost: 4.421831e-01
Epoch 117 | Cost: 4.419280e-01
Epoch 118 | Cost: 4.416829e-01
Epoch 119 | Cost: 4.414475e-01
Epoch 120 | Cost: 4.412214e-01
Epoch 121 | Cost: 4.410044e-01
Epoch 122 | Cost: 4.407960e-01
Epoch 123 | Cost: 4.405961e-01
Epoch 124 | Cost: 4.404043e-01
Epoch 125 | Cost: 4.402204e-01
Epoch 126 | Cost: 4.400441e-01
Epoch 127 | Cost: 4.398752e-01
Epoch 128 | Cost: 4.397134e-01
Epoch 129 | Cost: 4.395586e-01
Epoch 130 | Cost: 4.394104e-01
Epoch 131 | Cost: 4.392688e-01
Epoch 132 | Cost: 4.391335e-01
Epoch 133 | Cost: 4.390043e-01
Epoch 134 | Cost: 4.388810e-01
Epoch 135 | Cost: 4.387635e-01
Epoch 136 | Cost: 4.386516e-01
Epoch 137 | Cost: 4.385451e-01
Epoch 138 | Cost: 4.384440e-01
Epoch 139 | Cost: 4.383480e-01
Epoch 140 | Cost: 4.382571e-01
Epoch 141 | Cost: 4.381710e-01
Epoch 142 | Cost: 4.380897e-01
Epoch 143 | Cost: 4.380130e-01
Epoch 144 | Cost: 4.379409e-01
Epoch 145 | Cost: 4.378732e-01
Epoch 146 | Cost: 4.378098e-01
Epoch 147 | Cost: 4.377506e-01
Epoch 148 | Cost: 4.376956e-01
Epoch 149 | Cost: 4.376446e-01
Epoch 150 | Cost: 4.375975e-01
Epoch 151 | Cost: 4.375543e-01
Epoch 152 | Cost: 4.375149e-01
Epoch 153 | Cost: 4.374792e-01
Epoch 154 | Cost: 4.374471e-01
Epoch 155 | Cost: 4.374186e-01
Epoch 156 | Cost: 4.373936e-01
Epoch 157 | Cost: 4.373720e-01
Epoch 158 | Cost: 4.373538e-01
Epoch 159 | Cost: 4.373389e-01
Epoch 160 | Cost: 4.373273e-01
Epoch 161 | Cost: 4.373188e-01
Epoch 162 | Cost: 4.373136e-01
Epoch 163 | Cost: 4.373114e-01
Epoch 164 | Cost: 4.373122e-01
New learning rate: 0.16000
Epoch 165 | Cost: 4.373123e-01
Epoch 166 | Cost: 4.373122e-01
Epoch 167 | Cost: 4.373119e-01
Epoch 168 | Cost: 4.373117e-01
Epoch 169 | Cost: 4.373116e-01
Epoch 170 | Cost: 4.373117e-01
Epoch 171 | Cost: 4.373119e-01
Epoch 172 | Cost: 4.373122e-01
Epoch 173 | Cost: 4.373127e-01
Epoch 174 | Cost: 4.373134e-01
Epoch 175 | Cost: 4.373141e-01
New learning rate: 0.03200
Epoch 176 | Cost: 4.373143e-01
Epoch 177 | Cost: 4.373145e-01
Epoch 178 | Cost: 4.373146e-01
Epoch 179 | Cost: 4.373148e-01
Epoch 180 | Cost: 4.373149e-01
Epoch 181 | Cost: 4.373151e-01
Epoch 182 | Cost: 4.373153e-01
Epoch 183 | Cost: 4.373154e-01
Epoch 184 | Cost: 4.373156e-01
Epoch 185 | Cost: 4.373158e-01
Epoch 186 | Cost: 4.373160e-01
New learning rate: 0.00640
Epoch 187 | Cost: 4.373160e-01
Epoch 188 | Cost: 4.373161e-01
Epoch 189 | Cost: 4.373161e-01
Epoch 190 | Cost: 4.373162e-01
Epoch 191 | Cost: 4.373162e-01
Epoch 192 | Cost: 4.373162e-01
Epoch 193 | Cost: 4.373163e-01
Epoch 194 | Cost: 4.373163e-01
Epoch 195 | Cost: 4.373163e-01
Epoch 196 | Cost: 4.373164e-01
Epoch 197 | Cost: 4.373164e-01
New learning rate: 0.00128
Epoch 198 | Cost: 4.373164e-01
Epoch 199 | Cost: 4.373164e-01
Epoch 200 | Cost: 4.373165e-01
Epoch 201 | Cost: 4.373165e-01
Epoch 202 | Cost: 4.373165e-01
Epoch 203 | Cost: 4.373165e-01
Epoch 204 | Cost: 4.373165e-01
Epoch 205 | Cost: 4.373165e-01
Epoch 206 | Cost: 4.373165e-01
Epoch 207 | Cost: 4.373165e-01
Epoch 208 | Cost: 4.373165e-01
New learning rate: 0.00026
Epoch 209 | Cost: 4.373165e-01
Epoch 210 | Cost: 4.373165e-01
Epoch 211 | Cost: 4.373165e-01
Epoch 212 | Cost: 4.373165e-01
Epoch 213 | Cost: 4.373165e-01
Epoch 214 | Cost: 4.373165e-01
Epoch 215 | Cost: 4.373165e-01
Epoch 216 | Cost: 4.373165e-01
Epoch 217 | Cost: 4.373165e-01
Epoch 218 | Cost: 4.373165e-01
Epoch 219 | Cost: 4.373165e-01
New learning rate: 0.00005
Epoch 220 | Cost: 4.373165e-01
Epoch 221 | Cost: 4.373165e-01
Epoch 222 | Cost: 4.373165e-01
Epoch 223 | Cost: 4.373165e-01
Epoch 224 | Cost: 4.373165e-01
Epoch 225 | Cost: 4.373165e-01
Epoch 226 | Cost: 4.373165e-01
Epoch 227 | Cost: 4.373165e-01
Epoch 228 | Cost: 4.373165e-01
Epoch 229 | Cost: 4.373165e-01
Epoch 230 | Cost: 4.373165e-01
