       act_type: 'tanh'
         l_rate: 0.9000
          beta1: 0.7500
     numint_its: 75
         epochs: 1000
         d_rate: 0
       int_step: 0.2000
       lr_decay: 1
        buf_win: 10
     ADAPTIT_ri: 2
     ADAPTIT_rs: 1
      ADAPTIT_w: 1250
    layer_sizes: [400 50 10 10]
       n_layers: 4
            var: [1 1 1 1]
      timestamp: '0405_163301'
          log_f: 3

Epoch 1 | Cost: 2.260211e+00 | Training Set Accuracy: 14.821667
Epoch 2 | Cost: 2.064257e+00 | Training Set Accuracy: 26.713333
Epoch 3 | Cost: 1.874202e+00 | Training Set Accuracy: 36.591667
Epoch 4 | Cost: 1.733161e+00 | Training Set Accuracy: 41.951667
Epoch 5 | Cost: 1.605744e+00 | Training Set Accuracy: 50.606667
Epoch 6 | Cost: 1.482023e+00 | Training Set Accuracy: 59.756667
Epoch 7 | Cost: 1.386259e+00 | Training Set Accuracy: 64.476667
Epoch 8 | Cost: 1.322634e+00 | Training Set Accuracy: 65.938333
Epoch 9 | Cost: 1.276527e+00 | Training Set Accuracy: 66.873333
Epoch 10 | Cost: 1.235428e+00 | Training Set Accuracy: 68.053333
Epoch 11 | Cost: 1.195265e+00 | Training Set Accuracy: 69.545000
Epoch 12 | Cost: 1.157370e+00 | Training Set Accuracy: 70.971667
Epoch 13 | Cost: 1.124304e+00 | Training Set Accuracy: 72.258333
Epoch 14 | Cost: 1.097306e+00 | Training Set Accuracy: 73.116667
Epoch 15 | Cost: 1.075715e+00 | Training Set Accuracy: 73.730000
Epoch 16 | Cost: 1.057754e+00 | Training Set Accuracy: 74.146667
Epoch 17 | Cost: 1.041644e+00 | Training Set Accuracy: 74.430000
Epoch 18 | Cost: 1.026257e+00 | Training Set Accuracy: 74.685000
Epoch 19 | Cost: 1.011169e+00 | Training Set Accuracy: 74.860000
Epoch 20 | Cost: 9.963761e-01 | Training Set Accuracy: 75.096667
Epoch 21 | Cost: 9.820063e-01 | Training Set Accuracy: 75.285000
Epoch 22 | Cost: 9.681534e-01 | Training Set Accuracy: 75.461667
Epoch 23 | Cost: 9.548380e-01 | Training Set Accuracy: 75.640000
Epoch 24 | Cost: 9.420241e-01 | Training Set Accuracy: 75.816667
Epoch 25 | Cost: 9.296414e-01 | Training Set Accuracy: 76.035000
Epoch 26 | Cost: 9.176009e-01 | Training Set Accuracy: 76.168333
Epoch 27 | Cost: 9.058039e-01 | Training Set Accuracy: 76.308333
Epoch 28 | Cost: 8.941513e-01 | Training Set Accuracy: 76.481667
Epoch 29 | Cost: 8.825498e-01 | Training Set Accuracy: 76.633333
Epoch 30 | Cost: 8.709162e-01 | Training Set Accuracy: 76.761667
Epoch 31 | Cost: 8.591784e-01 | Training Set Accuracy: 76.895000
Epoch 32 | Cost: 8.472748e-01 | Training Set Accuracy: 76.990000
Epoch 33 | Cost: 8.351533e-01 | Training Set Accuracy: 77.111667
Epoch 34 | Cost: 8.227725e-01 | Training Set Accuracy: 77.251667
Epoch 35 | Cost: 8.101036e-01 | Training Set Accuracy: 77.366667
Epoch 36 | Cost: 7.971356e-01 | Training Set Accuracy: 77.503333
Epoch 37 | Cost: 7.838800e-01 | Training Set Accuracy: 77.736667
Epoch 38 | Cost: 7.703790e-01 | Training Set Accuracy: 78.006667
Epoch 39 | Cost: 7.567139e-01 | Training Set Accuracy: 78.333333
Epoch 40 | Cost: 7.430148e-01 | Training Set Accuracy: 78.741667
Epoch 41 | Cost: 7.294689e-01 | Training Set Accuracy: 79.221667
Epoch 42 | Cost: 7.163217e-01 | Training Set Accuracy: 79.741667
Epoch 43 | Cost: 7.038656e-01 | Training Set Accuracy: 80.290000
Epoch 44 | Cost: 6.924078e-01 | Training Set Accuracy: 80.793333
Epoch 45 | Cost: 6.822186e-01 | Training Set Accuracy: 81.321667
Epoch 46 | Cost: 6.734670e-01 | Training Set Accuracy: 81.793333
Epoch 47 | Cost: 6.661674e-01 | Training Set Accuracy: 82.156667
Epoch 48 | Cost: 6.601611e-01 | Training Set Accuracy: 82.391667
Epoch 49 | Cost: 6.551504e-01 | Training Set Accuracy: 82.645000
Epoch 50 | Cost: 6.507767e-01 | Training Set Accuracy: 82.761667
Epoch 51 | Cost: 6.467103e-01 | Training Set Accuracy: 82.916667
Epoch 52 | Cost: 6.427166e-01 | Training Set Accuracy: 83.031667
Epoch 53 | Cost: 6.386759e-01 | Training Set Accuracy: 83.118333
Epoch 54 | Cost: 6.345618e-01 | Training Set Accuracy: 83.215000
Epoch 55 | Cost: 6.304010e-01 | Training Set Accuracy: 83.325000
Epoch 56 | Cost: 6.262372e-01 | Training Set Accuracy: 83.475000
Epoch 57 | Cost: 6.221088e-01 | Training Set Accuracy: 83.550000
Epoch 58 | Cost: 6.180425e-01 | Training Set Accuracy: 83.621667
Epoch 59 | Cost: 6.140541e-01 | Training Set Accuracy: 83.703333
Epoch 60 | Cost: 6.101531e-01 | Training Set Accuracy: 83.806667
Epoch 61 | Cost: 6.063455e-01 | Training Set Accuracy: 83.901667
Epoch 62 | Cost: 6.026347e-01 | Training Set Accuracy: 84.001667
Epoch 63 | Cost: 5.990218e-01 | Training Set Accuracy: 84.078333
Epoch 64 | Cost: 5.955054e-01 | Training Set Accuracy: 84.181667
Epoch 65 | Cost: 5.920814e-01 | Training Set Accuracy: 84.261667
Epoch 66 | Cost: 5.887437e-01 | Training Set Accuracy: 84.373333
Epoch 67 | Cost: 5.854850e-01 | Training Set Accuracy: 84.455000
Epoch 68 | Cost: 5.822974e-01 | Training Set Accuracy: 84.555000
Epoch 69 | Cost: 5.791733e-01 | Training Set Accuracy: 84.651667
Epoch 70 | Cost: 5.761063e-01 | Training Set Accuracy: 84.730000
Epoch 71 | Cost: 5.730908e-01 | Training Set Accuracy: 84.790000
Epoch 72 | Cost: 5.701225e-01 | Training Set Accuracy: 84.863333
Epoch 73 | Cost: 5.671982e-01 | Training Set Accuracy: 84.940000
Epoch 74 | Cost: 5.643156e-01 | Training Set Accuracy: 85.000000
Epoch 75 | Cost: 5.614732e-01 | Training Set Accuracy: 85.085000
Epoch 76 | Cost: 5.586701e-01 | Training Set Accuracy: 85.150000
Epoch 77 | Cost: 5.559057e-01 | Training Set Accuracy: 85.206667
Epoch 78 | Cost: 5.531796e-01 | Training Set Accuracy: 85.290000
Epoch 79 | Cost: 5.504917e-01 | Training Set Accuracy: 85.368333
Epoch 80 | Cost: 5.478418e-01 | Training Set Accuracy: 85.453333
Epoch 81 | Cost: 5.452297e-01 | Training Set Accuracy: 85.521667
Epoch 82 | Cost: 5.426550e-01 | Training Set Accuracy: 85.603333
Epoch 83 | Cost: 5.401171e-01 | Training Set Accuracy: 85.656667
Epoch 84 | Cost: 5.376155e-01 | Training Set Accuracy: 85.726667
Epoch 85 | Cost: 5.351495e-01 | Training Set Accuracy: 85.783333
Epoch 86 | Cost: 5.327183e-01 | Training Set Accuracy: 85.853333
Epoch 87 | Cost: 5.303211e-01 | Training Set Accuracy: 85.911667
Epoch 88 | Cost: 5.279572e-01 | Training Set Accuracy: 85.963333
Epoch 89 | Cost: 5.256257e-01 | Training Set Accuracy: 86.036667
Epoch 90 | Cost: 5.233261e-01 | Training Set Accuracy: 86.096667
Epoch 91 | Cost: 5.210576e-01 | Training Set Accuracy: 86.153333
