Epoch 1 | Cost: 1.384463e+00
Epoch 2 | Cost: 1.320597e+00
Epoch 3 | Cost: 1.269145e+00
Epoch 4 | Cost: 1.226429e+00
Epoch 5 | Cost: 1.190015e+00
Epoch 6 | Cost: 1.158335e+00
Epoch 7 | Cost: 1.130233e+00
Epoch 8 | Cost: 1.104642e+00
Epoch 9 | Cost: 1.080437e+00
Epoch 10 | Cost: 1.056473e+00
Epoch 11 | Cost: 1.031848e+00
Epoch 12 | Cost: 1.006313e+00
Epoch 13 | Cost: 9.805322e-01
Epoch 14 | Cost: 9.558034e-01
Epoch 15 | Cost: 9.333372e-01
Epoch 16 | Cost: 9.137372e-01
Epoch 17 | Cost: 8.969797e-01
Epoch 18 | Cost: 8.826762e-01
Epoch 19 | Cost: 8.703289e-01
Epoch 20 | Cost: 8.594771e-01
Epoch 21 | Cost: 8.497513e-01
Epoch 22 | Cost: 8.408758e-01
Epoch 23 | Cost: 8.326533e-01
Epoch 24 | Cost: 8.249445e-01
Epoch 25 | Cost: 8.176511e-01
Epoch 26 | Cost: 8.107034e-01
Epoch 27 | Cost: 8.040511e-01
Epoch 28 | Cost: 7.976570e-01
Epoch 29 | Cost: 7.914934e-01
Epoch 30 | Cost: 7.855386e-01
Epoch 31 | Cost: 7.797760e-01
Epoch 32 | Cost: 7.741918e-01
Epoch 33 | Cost: 7.687748e-01
Epoch 34 | Cost: 7.635158e-01
Epoch 35 | Cost: 7.584065e-01
Epoch 36 | Cost: 7.534400e-01
Epoch 37 | Cost: 7.486100e-01
Epoch 38 | Cost: 7.439108e-01
Epoch 39 | Cost: 7.393372e-01
Epoch 40 | Cost: 7.348845e-01
Epoch 41 | Cost: 7.305482e-01
Epoch 42 | Cost: 7.263242e-01
Epoch 43 | Cost: 7.222085e-01
Epoch 44 | Cost: 7.181975e-01
Epoch 45 | Cost: 7.142875e-01
Epoch 46 | Cost: 7.104753e-01
Epoch 47 | Cost: 7.067576e-01
Epoch 48 | Cost: 7.031312e-01
Epoch 49 | Cost: 6.995933e-01
Epoch 50 | Cost: 6.961410e-01
Epoch 51 | Cost: 6.927715e-01
Epoch 52 | Cost: 6.894821e-01
Epoch 53 | Cost: 6.862705e-01
Epoch 54 | Cost: 6.831339e-01
Epoch 55 | Cost: 6.800702e-01
Epoch 56 | Cost: 6.770770e-01
Epoch 57 | Cost: 6.741520e-01
Epoch 58 | Cost: 6.712932e-01
Epoch 59 | Cost: 6.684983e-01
Epoch 60 | Cost: 6.657655e-01
Epoch 61 | Cost: 6.630927e-01
Epoch 62 | Cost: 6.604780e-01
Epoch 63 | Cost: 6.579195e-01
Epoch 64 | Cost: 6.554156e-01
Epoch 65 | Cost: 6.529643e-01
Epoch 66 | Cost: 6.505640e-01
Epoch 67 | Cost: 6.482129e-01
Epoch 68 | Cost: 6.459096e-01
Epoch 69 | Cost: 6.436523e-01
Epoch 70 | Cost: 6.414394e-01
Epoch 71 | Cost: 6.392695e-01
Epoch 72 | Cost: 6.371409e-01
Epoch 73 | Cost: 6.350522e-01
Epoch 74 | Cost: 6.330019e-01
Epoch 75 | Cost: 6.309884e-01
Epoch 76 | Cost: 6.290104e-01
Epoch 77 | Cost: 6.270663e-01
Epoch 78 | Cost: 6.251546e-01
Epoch 79 | Cost: 6.232739e-01
Epoch 80 | Cost: 6.214227e-01
Epoch 81 | Cost: 6.195994e-01
Epoch 82 | Cost: 6.178025e-01
Epoch 83 | Cost: 6.160304e-01
Epoch 84 | Cost: 6.142815e-01
Epoch 85 | Cost: 6.125542e-01
Epoch 86 | Cost: 6.108466e-01
Epoch 87 | Cost: 6.091570e-01
Epoch 88 | Cost: 6.074835e-01
Epoch 89 | Cost: 6.058242e-01
Epoch 90 | Cost: 6.041769e-01
Epoch 91 | Cost: 6.025396e-01
Epoch 92 | Cost: 6.009098e-01
Epoch 93 | Cost: 5.992851e-01
