Epoch 153 | Cost: 4.187832e-01
Epoch 154 | Cost: 4.174399e-01
Epoch 155 | Cost: 4.161080e-01
Epoch 156 | Cost: 4.147873e-01
Epoch 157 | Cost: 4.134778e-01
Epoch 158 | Cost: 4.121791e-01
Epoch 159 | Cost: 4.108913e-01
Epoch 160 | Cost: 4.096142e-01
Epoch 161 | Cost: 4.083476e-01
Epoch 162 | Cost: 4.070914e-01
Epoch 163 | Cost: 4.058455e-01
Epoch 164 | Cost: 4.046098e-01
Epoch 165 | Cost: 4.033842e-01
Epoch 166 | Cost: 4.021685e-01
Epoch 167 | Cost: 4.009625e-01
Epoch 168 | Cost: 3.997663e-01
Epoch 169 | Cost: 3.985796e-01
Epoch 170 | Cost: 3.974024e-01
Epoch 171 | Cost: 3.962346e-01
Epoch 172 | Cost: 3.950759e-01
Epoch 173 | Cost: 3.939264e-01
Epoch 174 | Cost: 3.927860e-01
Epoch 175 | Cost: 3.916544e-01
Epoch 176 | Cost: 3.905317e-01
Epoch 177 | Cost: 3.894176e-01
Epoch 178 | Cost: 3.883122e-01
Epoch 179 | Cost: 3.872153e-01
Epoch 180 | Cost: 3.861269e-01
Epoch 181 | Cost: 3.850467e-01
Epoch 182 | Cost: 3.839748e-01
Epoch 183 | Cost: 3.829110e-01
Epoch 184 | Cost: 3.818552e-01
Epoch 185 | Cost: 3.808074e-01
Epoch 186 | Cost: 3.797675e-01
Epoch 187 | Cost: 3.787353e-01
Epoch 188 | Cost: 3.777109e-01
Epoch 189 | Cost: 3.766940e-01
Epoch 190 | Cost: 3.756847e-01
Epoch 191 | Cost: 3.746828e-01
Epoch 192 | Cost: 3.736883e-01
Epoch 193 | Cost: 3.727011e-01
Epoch 194 | Cost: 3.717210e-01
Epoch 195 | Cost: 3.707481e-01
Epoch 196 | Cost: 3.697823e-01
Epoch 197 | Cost: 3.688234e-01
Epoch 198 | Cost: 3.678714e-01
Epoch 199 | Cost: 3.669262e-01
Epoch 200 | Cost: 3.659878e-01
Epoch 201 | Cost: 3.650561e-01
Epoch 202 | Cost: 3.641310e-01
Epoch 203 | Cost: 3.632125e-01
Epoch 204 | Cost: 3.623004e-01
Epoch 205 | Cost: 3.613947e-01
Epoch 206 | Cost: 3.604954e-01
Epoch 207 | Cost: 3.596023e-01
Epoch 208 | Cost: 3.587155e-01
Epoch 209 | Cost: 3.578348e-01
Epoch 210 | Cost: 3.569602e-01
Epoch 211 | Cost: 3.560916e-01
Epoch 212 | Cost: 3.552290e-01
Epoch 213 | Cost: 3.543722e-01
Epoch 214 | Cost: 3.535214e-01
Epoch 215 | Cost: 3.526763e-01
Epoch 216 | Cost: 3.518369e-01
Epoch 217 | Cost: 3.510032e-01
Epoch 218 | Cost: 3.501751e-01
Epoch 219 | Cost: 3.493526e-01
Epoch 220 | Cost: 3.485356e-01
